id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
117,01M378,School for Global Leaders,2023,Common Core Algebra,15,75.933334,93.333336
118,01M448,University Neighborhood High School,2015,Algebra 2 (Trigonometry),45,62.2,53.333332
119,01M448,University Neighborhood High School,2015,Chinese,11,93.09091,100.0
120,01M448,University Neighborhood High School,2015,Common Core Algebra,105,62.647617,50.47619
121,01M448,University Neighborhood High School,2015,Common Core English,70,69.22857,71.42857
122,01M448,University Neighborhood High School,2015,Common Core Geometry,76,56.44737,22.368422
123,01M448,University Neighborhood High School,2015,English,117,65.08547,60.68376
124,01M448,University Neighborhood High School,2015,Geometry,87,68.51724,63.21839
125,01M448,University Neighborhood High School,2015,Global History and Geography,130,65.83846,60.76923
126,01M448,University Neighborhood High School,2015,Integrated Algebra,42,65.666664,54.761906
127,01M448,University Neighborhood High School,2015,Living Environment,125,67.704,70.4
128,01M448,University Neighborhood High School,2015,Chemistry,20,60.9,40.0
129,01M448,University Neighborhood High School,2015,Earth Science,69,64.797104,55.072464
130,01M448,University Neighborhood High School,2015,Spanish,29,80.75862,82.75862
131,01M448,University Neighborhood High School,2015,US History and Government,36,70.47222,72.22222
132,01M448,University Neighborhood High School,2016,Algebra 2 (Trigonometry),55,59.8,34.545456
133,01M448,University Neighborhood High School,2016,Chinese,13,79.0,69.23077
134,01M448,University Neighborhood High School,2016,Common Core Algebra,148,68.23649,71.62162
135,01M448,University Neighborhood High School,2016,Common Core Algebra 2,36,67.27778,69.44444
136,01M448,University Neighborhood High School,2016,Common Core English,97,73.948456,85.56701
137,01M448,University Neighborhood High School,2016,Common Core Geometry,92,60.902172,40.217392
138,01M448,University Neighborhood High School,2016,English,16,57.0625,43.75
139,01M448,University Neighborhood High School,2016,Geometry,27,55.148148,11.111111
140,01M448,University Neighborhood High School,2016,Global History and Geography,134,67.977615,68.656715
141,01M448,University Neighborhood High School,2016,Integrated Algebra,16,71.8125,87.5
142,01M448,University Neighborhood High School,2016,Living Environment,128,69.84375,69.53125
143,01M448,University Neighborhood High School,2016,Chemistry,19,65.73684,63.157894
144,01M448,University Neighborhood High School,2016,Earth Science,96,67.65625,64.583336
145,01M448,University Neighborhood High School,2016,Spanish,12,77.583336,75.0
146,01M448,University Neighborhood High School,2016,US History and Government,71,76.676056,87.323944
147,01M448,University Neighborhood High School,2017,Algebra 2 (Trigonometry),11,58.636364,27.272728
148,01M448,University Neighborhood High School,2017,Chinese,10,71.2,60.0
149,01M448,University Neighborhood High School,2017,Common Core Algebra,153,72.93464,80.39216
150,01M448,University Neighborhood High School,2017,Common Core Algebra 2,59,64.881355,61.01695
151,01M448,University Neighborhood High School,2017,Common Core English,150,73.13333,82.0
152,01M448,University Neighborhood High School,2017,Common Core Geometry,118,67.34746,68.644066
153,01M448,University Neighborhood High School,2017,Global History and Geography,124,71.98387,70.96774
154,01M448,University Neighborhood High School,2017,Living Environment,141,72.71631,80.85107
155,01M448,University Neighborhood High School,2017,Chemistry,14,63.857143,42.857143
156,01M448,University Neighborhood High School,2017,Earth Science,91,72.05495,75.82417
157,01M448,University Neighborhood High School,2017,Spanish,26,76.73077,80.76923
158,01M448,University Neighborhood High School,2017,US History and Government,90,76.86667,80.0
159,01M448,University Neighborhood High School,2018,Common Core Algebra,149,68.845634,66.442955
160,01M448,University Neighborhood High School,2018,Common Core Algebra 2,67,67.268654,64.17911
161,01M448,University Neighborhood High School,2018,Common Core English,146,68.4863,73.287674
162,01M448,University Neighborhood High School,2018,Common Core Geometry,120,63.583332,51.666668
163,01M448,University Neighborhood High School,2018,Global History and Geography,147,71.462585,68.70748
164,01M448,University Neighborhood High School,2018,Living Environment,132,69.84849,71.969696
165,01M448,University Neighborhood High School,2018,Chemistry,52,66.23077,63.46154
166,01M448,University Neighborhood High School,2018,Earth Science,114,65.57895,56.14035
167,01M448,University Neighborhood High School,2018,Spanish,43,86.39535,93.023254
168,01M448,University Neighborhood High School,2018,US History and Government,94,74.64893,75.53191
169,01M448,University Neighborhood High School,2019,Chinese,39,75.17949,66.666664
170,01M448,University Neighborhood High School,2019,Common Core Algebra,169,69.98225,66.27219
171,01M448,University Neighborhood High School,2019,Common Core Algebra 2,112,63.607143,58.92857
172,01M448,University Neighborhood High School,2019,Common Core English,213,68.441315,71.830986
173,01M448,University Neighborhood High School,2019,Common Core Geometry,119,67.72269,67.22689
174,01M448,University Neighborhood High School,2019,Global History and Geography,169,71.70414,71.59763
175,01M448,University Neighborhood High School,2019,Living Environment,145,72.97241,72.413795
176,01M448,University Neighborhood High School,2019,Chemistry,88,58.704544,28.40909
177,01M448,University Neighborhood High School,2019,Earth Science,124,65.58871,56.451614
178,01M448,University Neighborhood High School,2019,Spanish,31,79.6129,80.645164
179,01M448,University Neighborhood High School,2019,US History and Government,134,71.768654,70.89552
180,01M448,University Neighborhood High School,2020,Common Core Algebra,62,59.612904,38.70968
181,01M448,University Neighborhood High School,2020,Common Core Algebra 2,13,63.53846,38.46154
182,01M448,University Neighborhood High School,2020,Common Core English,121,73.86777,75.20661
183,01M448,University Neighborhood High School,2020,Common Core Geometry,14,53.142857,14.285714
184,01M448,University Neighborhood High School,2020,Global History and Geography,25,53.2,20.0
185,01M448,University Neighborhood High School,2020,Living Environment,33,52.696968,18.181818
186,01M448,University Neighborhood High School,2020,Chemistry,8,67.25,50.0
187,01M448,University Neighborhood High School,2020,Earth Science,14,61.57143,42.857143
188,01M448,University Neighborhood High School,2020,US History and Government,23,62.695652,52.173912
189,01M448,University Neighborhood High School,2022,Chinese,30,83.4,86.666664
190,01M448,University Neighborhood High School,2022,Common Core Algebra,71,70.88732,71.830986
191,01M448,University Neighborhood High School,2022,Common Core Algebra 2,112,56.955357,36.607143
192,01M448,University Neighborhood High School,2022,Common Core English,134,62.71642,61.9403
193,01M448,University Neighborhood High School,2022,Common Core Geometry,88,62.113636,48.863636
194,01M448,University Neighborhood High School,2022,Global History and Geography,130,70.34615,70.76923
195,01M448,University Neighborhood High School,2022,Living Environment,77,76.49351,81.818184
196,01M448,University Neighborhood High School,2022,Chemistry,98,56.336735,29.591837
197,01M448,University Neighborhood High School,2022,Earth Science,114,61.675438,48.245613
198,01M448,University Neighborhood High School,2022,Physics,6,57.833332,66.666664
199,01M448,University Neighborhood High School,2022,Spanish,39,73.17949,64.10256
200,01M448,University Neighborhood High School,2023,Chinese,25,77.28,76.0
201,01M448,University Neighborhood High School,2023,Common Core Algebra,79,72.03797,78.48101
202,01M448,University Neighborhood High School,2023,Common Core Algebra 2,90,61.58889,46.666668
203,01M448,University Neighborhood High School,2023,Common Core English,162,73.358025,74.69136
204,01M448,University Neighborhood High School,2023,Common Core Geometry,117,69.32478,65.811966
205,01M448,University Neighborhood High School,2023,Global History and Geography,116,72.77586,75.0
206,01M448,University Neighborhood High School,2023,Living Environment,82,71.69512,73.17073
207,01M448,University Neighborhood High School,2023,Chemistry,107,58.15888,35.51402
208,01M448,University Neighborhood High School,2023,Earth Science,116,74.47414,75.0
209,01M448,University Neighborhood High School,2023,Spanish,42,77.14286,78.57143
210,01M448,University Neighborhood High School,2023,US History and Government,110,66.48182,64.545456
211,01M450,East Side Community School,2015,English,53,74.603775,92.45283
212,01M450,East Side Community School,2016,Common Core Algebra,9,78.22222,77.77778
213,01M450,East Side Community School,2016,Common Core English,182,82.23627,93.95605
214,01M450,East Side Community School,2016,English,12,71.166664,91.666664
215,01M450,East Side Community School,2017,Common Core Algebra,6,79.5,83.333336
216,01M450,East Side Community School,2017,Common Core English,109,79.6789,92.66055
217,01M450,East Side Community School,2018,Common Core Algebra,12,79.583336,100.0
218,01M450,East Side Community School,2018,Common Core English,119,72.05042,78.15126
219,01M450,East Side Community School,2019,Common Core Algebra,7,80.0,100.0
220,01M450,East Side Community School,2019,Common Core English,130,81.815384,96.92308
221,01M450,East Side Community School,2020,Common Core English,18,80.44444,83.333336
222,01M450,East Side Community School,2022,Common Core English,90,80.81111,87.77778
223,01M450,East Side Community School,2023,Common Core English,113,80.90266,90.26549
224,01M458,Forsyth Satellite Academy,2015,Common Core English,33,60.454544,51.515152
225,01M458,Forsyth Satellite Academy,2015,English,56,61.55357,44.642857
226,01M458,Forsyth Satellite Academy,2015,Global History and Geography,10,42.0,10.0
227,01M458,Forsyth Satellite Academy,2015,Integrated Algebra,8,57.25,25.0
