schools,id
07X625: Bronx Legacy High School,222
07X670: Health Opportunities High School,223
08X071: P.S. 071 Rose E. Scala,224
08X101: M.S. 101 Edward R. Byrne,225
08X123: J.H.S. 123 James M. Kieran,226
08X125: J.H.S. 125 Henry Hudson,227
08X131: J.H.S. 131 Albert Einstein,228
08X269: Bronx Studio School for Writers and Artists,229
08X282: Women's Academy of Excellence,230
08X293: Renaissance High School for Musical Theater and the Arts,231
08X302: M.S. 302 Luisa Dessus Cruz,232
08X305: Pablo Neruda Academy,233
08X312: Millennium Art Academy,234
08X320: Pelham Lab High School,235
08X332: Holcombe L. Rucker School of Community Research,236
08X337: The School for Inquiry and Social Justice,237
08X348: Schuylerville Preparatory High School,238
08X349: Bronx River High School,239
"08X367: Archimedes Academy for Math, Science and Technology Applications",240
08X371: Urban Institute of Mathematics,241
08X375: The Bronx Mathematics Preparatory School,242
08X376: Antonia Pantoja Preparatory Academy: A College Board School,243
08X377: Bronx Community High School,244
08X405: Herbert H. Lehman High School,245
08X408: Herbert H. Lehman YABC,246
08X424: Bronx Academy for Multi-Media,247
08X432: Bronx Bridges High School,248
08X448: Soundview Academy for Culture and Scholarship,249
08X452: Gotham Collaborative High School,250
08X467: Mott Hall Community School,251
08X507: Stevenson YABC,252
08X519: Felisa Rincon de Gautier Institute for Law and Public Policy,253
08X530: Longwood Preparatory Academy,254
08X537: Bronx Arena High School,255
08X558: Westchester Square Academy,256
08X559: School for Tourism and Hospitality,257
08X561: Bronx Compass High School,258
08X562: Pugsley Preparatory Academy,259
09X022: J.H.S. 022 Jordan L. Mott,260
09X117: I.S. 117 Joseph H. Wade,261
09X128: Mott Hall III,262
09X215: Kappa,263
09X218: P.S. | I.S. 218 Rafael Hernandez Dual Language Magnet School,264
09X219: I.S. 219 New Venture School,265
09X227: Bronx Collegiate Academy,266
09X229: I.S. 229 Roland Patterson,267
09X231: Eagle Academy for Young Men,268
09X232: I.S. 232,269
09X241: Urban Assembly School for Applied Math and Science,270
09X250: Eximius College Preparatory Academy: A College Board School,271
09X252: Mott Hall Bronx High School,272
09X260: Bronx Center for Science and Mathematics,273
09X263: Validus Preparatory Academy,274
09X276: Leadership Institute,275
09X297: Morris Academy for Collaborative Studies,276
09X303: I.S. 303 Leadership and Community Service,277
09X313: I.S. 313 School of Leadership Development,278
09X323: Bronx Writing Academy,279
09X324: Bronx Early College Academy for Teaching and Learning,280
09X327: M.S. 327 Comprehensive Model School Project,281
09X329: DreamYard Preparatory School,282
09X339: I.S. 339,283
09X350: New Directions Secondary School,284
09X361: The Highbridge Green School,285
09X365: Academy for Language and Technology,286
09X403: Bronx International High School,287
09X404: School for Excellence,288
09X412: Bronx High School of Business,289
09X413: Bronx High School for Medical Science,290
09X454: Science and Technology Academy: A Mott Hall School,291
"09X505: Bronx School for Law, Government and Justice",292
09X517: Frederick Douglass Academy III Secondary School,293
09X525: Bronx Leadership Academy High School,294
09X543: High School for Violin and Dance,295
09X564: Claremont International HS,296
09X568: Young Women's Leadership School of the Bronx,297
09X594: New Pathways Academy,298
10X003: P.S. 3 Raul Julia Micro Society,299
10X037: P.S. 37 Multiple Intelligence School,300
10X045: M.S. 45 Thomas C. Giordano,301
10X080: J.H.S. 080 The Mosholu Parkway,302
10X095: P.S. 095 Sheila Mencher,303
10X118: J.H.S. 118 William W. Niles,304
10X141: M.S. | H.S. 141 Riverdale Kingsbridge Academy,305
10X206: I.S. 206 Ann Mersereau,306
10X213: Bronx Engineering and Technology Academy,307
10X225: Theatre Arts Production Company School,308
10X228: Jonas Bronck Academy,309
"10X237: The Marie Curie School for Medicine, Nursing, and Health Professions",310
