borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2017,SWD,Common Core English,35,49.685715,28.571428,92
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Non-SWD,Common Core English,104,71.91346,82.69231,93
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,SWD,Common Core English,39,52.358974,23.076923,94
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Non-SWD,Living Environment,73,69.83562,69.863014,95
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,SWD,Living Environment,13,57.923077,38.46154,96
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Non-SWD,Common Core Algebra,55,76.545456,92.72727,97
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,SWD,Common Core Algebra,7,67.14286,57.142857,98
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Non-SWD,Common Core English,100,79.04,93.0,99
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,SWD,Common Core English,44,68.295456,65.90909,100
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Non-SWD,Common Core Geometry,48,72.229164,81.25,101
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Non-SWD,Living Environment,69,61.536232,52.173912,102
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,SWD,Living Environment,14,54.57143,21.428572,103
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2022,Non-SWD,Common Core English,74,73.21622,75.675674,104
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2022,SWD,Common Core English,15,58.066666,46.666668,105
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,Non-SWD,Common Core English,130,75.2,83.84615,106
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,SWD,Common Core English,25,66.52,64.0,107
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,Non-SWD,Living Environment,60,62.866665,43.333332,108
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,SWD,Living Environment,12,45.416668,0.0,109
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Common Core Algebra,181,61.861877,47.513813,110
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,SWD,Common Core Algebra,58,52.91379,24.137932,111
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Common Core Algebra 2,8,47.25,12.5,112
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Common Core English,108,70.22222,75.0,113
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,SWD,Common Core English,33,46.242424,27.272728,114
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Common Core Geometry,14,46.714287,0.0,115
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Global History and Geography,37,60.756756,40.54054,116
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,SWD,Global History and Geography,19,53.68421,15.789474,117
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,Living Environment,123,65.26016,56.91057,118
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,SWD,Living Environment,33,54.151516,18.181818,119
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Non-SWD,US History and Government,168,68.309525,63.690475,120
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,SWD,US History and Government,41,52.585365,24.390244,121
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Non-SWD,Common Core Algebra,175,59.594284,38.857143,122
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,SWD,Common Core Algebra,59,51.77966,5.084746,123
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Non-SWD,Common Core English,128,59.21875,52.34375,124
