category,year,regents_exam,median_mean_score,median_percent_65_or_above,id
Brooklyn,2019,Spanish,80.888885,89.47369,166
Brooklyn,2019,US History and Government,66.12957,58.81783,167
Manhattan,2019,Chemistry,63.587303,50.0,168
Manhattan,2019,Chinese,88.964096,99.47917,169
Manhattan,2019,Common Core Algebra,68.93964,70.10137,170
Manhattan,2019,Common Core Algebra 2,65.39796,60.0,171
Manhattan,2019,Common Core English,75.128204,84.90566,172
Manhattan,2019,Common Core Geometry,60.74701,44.340424,173
Manhattan,2019,Earth Science,60.294563,43.396225,174
Manhattan,2019,French,86.09125,100.0,175
Manhattan,2019,Global History and Geography,69.91416,70.90548,176
Manhattan,2019,Italian,88.36364,100.0,177
Manhattan,2019,Living Environment,69.957146,70.636826,178
Manhattan,2019,Physics,66.5,50.0,179
Manhattan,2019,Spanish,85.548676,96.98302,180
Manhattan,2019,US History and Government,71.27358,69.47791,181
Queens,2019,Chemistry,61.494553,44.963768,182
Queens,2019,Chinese,89.73102,97.62278,183
Queens,2019,Common Core Algebra,71.6861,78.070755,184
Queens,2019,Common Core Algebra 2,66.62185,63.953487,185
Queens,2019,Common Core English,75.5119,85.15337,186
Queens,2019,Common Core Geometry,64.46514,54.44638,187
Queens,2019,Earth Science,65.82927,59.59596,188
Queens,2019,French,79.375,93.75,189
Queens,2019,Global History and Geography,70.13572,72.969376,190
Queens,2019,Italian,81.02429,90.70856,191
Queens,2019,Living Environment,74.453125,79.91936,192
Queens,2019,Physics,69.61539,64.583336,193
Queens,2019,Spanish,83.02293,90.83095,194
Queens,2019,US History and Government,72.99786,74.2818,195
Staten Island,2019,Chemistry,69.6,70.0,196
Staten Island,2019,Chinese,64.111115,55.555557,197
Staten Island,2019,Common Core Algebra,73.63115,83.41097,198
Staten Island,2019,Common Core Algebra 2,72.16832,83.333336,199
Staten Island,2019,Common Core English,79.20943,87.99534,200
Staten Island,2019,Common Core Geometry,66.70035,61.20582,201
Staten Island,2019,Earth Science,58.48905,39.692307,202
Staten Island,2019,French,84.5469,93.33333,203
Staten Island,2019,Global History and Geography,68.4,70.149254,204
Staten Island,2019,Italian,78.28386,89.00462,205
