borough,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Common Core Algebra,242,58.68595,38.01653,90
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Common Core English,181,69.83425,70.71823,91
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Common Core Geometry,14,48.5,7.142857,92
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Global History and Geography,80,72.225,80.0,93
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Living Environment,133,61.097744,48.1203,94
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,US History and Government,109,64.16514,55.04587,95
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Common Core Algebra,194,56.164948,29.381443,96
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Common Core English,229,63.034935,57.641922,97
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Global History and Geography,91,66.78022,63.736263,98
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Living Environment,151,64.04636,49.668873,99
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Common Core Algebra,192,59.182293,40.625,100
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Common Core English,241,70.672195,72.19917,101
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Global History and Geography,109,67.477066,62.385323,102
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Living Environment,163,61.085888,44.785275,103
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,US History and Government,148,64.39865,58.783783,104
Bronx,07X296,South Bronx Academy for Applied Media,2017,Common Core Algebra,21,71.14286,71.42857,105
Bronx,07X296,South Bronx Academy for Applied Media,2017,Living Environment,17,72.23529,76.47059,106
Bronx,07X296,South Bronx Academy for Applied Media,2018,Common Core Algebra,13,50.692307,15.384615,107
Bronx,07X296,South Bronx Academy for Applied Media,2018,Living Environment,15,68.4,60.0,108
Bronx,07X296,South Bronx Academy for Applied Media,2019,Common Core Algebra,22,61.090908,36.363636,109
Bronx,07X296,South Bronx Academy for Applied Media,2019,Living Environment,14,62.285713,42.857143,110
Bronx,07X296,South Bronx Academy for Applied Media,2022,Common Core Algebra,17,70.411766,76.47059,111
Bronx,07X296,South Bronx Academy for Applied Media,2022,Living Environment,10,74.7,90.0,112
Bronx,07X296,South Bronx Academy for Applied Media,2023,Common Core Algebra,19,64.36842,57.894737,113
Bronx,07X296,South Bronx Academy for Applied Media,2023,Living Environment,11,68.90909,54.545456,114
Bronx,07X298,Academy of Public Relations,2017,Common Core Algebra,22,60.227272,31.818182,115
Bronx,07X298,Academy of Public Relations,2018,Common Core Algebra,24,54.75,29.166666,116
Bronx,07X298,Academy of Public Relations,2019,Common Core Algebra,26,65.57692,61.53846,117
Bronx,07X298,Academy of Public Relations,2022,Common Core Algebra,17,56.0,17.647058,118
Bronx,07X334,International Community High School,2017,Common Core English,126,60.246033,55.555557,119
Bronx,07X334,International Community High School,2018,Common Core Algebra,12,79.083336,100.0,120
Bronx,07X334,International Community High School,2018,Common Core English,163,62.3681,62.576687,121
Bronx,07X334,International Community High School,2019,Common Core English,132,66.90909,65.15151,122
Bronx,07X334,International Community High School,2022,Common Core English,84,54.166668,39.285713,123
Bronx,07X334,International Community High School,2023,Common Core English,86,58.65116,54.65116,124
Bronx,07X343,Academy of Applied Mathematics and Technology,2017,Common Core Algebra,29,82.72414,100.0,125
Bronx,07X343,Academy of Applied Mathematics and Technology,2017,Living Environment,32,82.21875,100.0,126
Bronx,07X343,Academy of Applied Mathematics and Technology,2018,Common Core Algebra,28,80.67857,100.0,127
Bronx,07X343,Academy of Applied Mathematics and Technology,2018,Living Environment,30,79.166664,96.666664,128
Bronx,07X343,Academy of Applied Mathematics and Technology,2019,Common Core Algebra,29,80.89655,100.0,129
Bronx,07X343,Academy of Applied Mathematics and Technology,2019,Living Environment,30,83.4,100.0,130
Bronx,07X343,Academy of Applied Mathematics and Technology,2022,Common Core Algebra,20,73.4,85.0,131
Bronx,07X343,Academy of Applied Mathematics and Technology,2022,Living Environment,27,73.0,81.48148,132
Bronx,07X343,Academy of Applied Mathematics and Technology,2023,Common Core Algebra,26,75.15385,96.15385,133
Bronx,07X343,Academy of Applied Mathematics and Technology,2023,Living Environment,28,74.71429,82.14286,134
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Common Core Algebra,46,59.630436,36.95652,135
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Common Core English,58,53.46552,36.206898,136
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Global History and Geography,70,56.62857,31.428572,137
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Living Environment,48,56.9375,35.416668,138
Bronx,07X379,Jill Chaifetz Transfer High School,2017,US History and Government,68,62.02941,48.52941,139
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Common Core Algebra,53,58.377357,35.849056,140
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Common Core English,54,58.88889,53.703705,141
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Global History and Geography,59,57.559322,30.508474,142
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Living Environment,40,58.875,35.0,143
Bronx,07X379,Jill Chaifetz Transfer High School,2018,US History and Government,48,61.125,45.833332,144
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Common Core Algebra,40,64.625,55.0,145
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Common Core English,54,61.98148,51.851852,146
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Global History and Geography,61,59.47541,40.98361,147
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Living Environment,27,60.333332,37.037037,148
Bronx,07X379,Jill Chaifetz Transfer High School,2019,US History and Government,46,59.934784,45.652172,149
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Common Core Algebra,8,54.0,12.5,150
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Common Core English,29,61.896553,51.724136,151
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Global History and Geography,15,63.0,53.333332,152
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Living Environment,8,71.875,87.5,153
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Spanish,6,87.333336,100.0,154
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Common Core Algebra,19,54.263157,15.789474,155
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Common Core English,47,64.02128,55.31915,156
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Global History and Geography,40,59.525,35.0,157
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Living Environment,22,56.636364,18.181818,158
Bronx,07X379,Jill Chaifetz Transfer High School,2023,US History and Government,18,58.833332,38.88889,159
Bronx,07X381,Bronx Haven High School,2017,Common Core Algebra,29,61.482758,41.37931,160
Bronx,07X381,Bronx Haven High School,2017,Common Core English,46,63.065216,50.0,161
Bronx,07X381,Bronx Haven High School,2017,Global History and Geography,66,55.196968,18.181818,162
Bronx,07X381,Bronx Haven High School,2017,Living Environment,46,60.739132,34.782608,163
Bronx,07X381,Bronx Haven High School,2017,US History and Government,51,63.80392,52.941177,164
Bronx,07X381,Bronx Haven High School,2018,Common Core Algebra,30,59.666668,33.333332,165
Bronx,07X381,Bronx Haven High School,2018,Common Core English,52,54.03846,42.307693,166
Bronx,07X381,Bronx Haven High School,2018,Global History and Geography,53,56.849056,30.188679,167
Bronx,07X381,Bronx Haven High School,2018,Living Environment,40,58.65,20.0,168
Bronx,07X381,Bronx Haven High School,2018,US History and Government,43,59.813953,32.55814,169
Bronx,07X381,Bronx Haven High School,2019,Common Core Algebra,32,58.3125,28.125,170
Bronx,07X381,Bronx Haven High School,2019,Common Core English,52,59.96154,55.76923,171
Bronx,07X381,Bronx Haven High School,2019,Global History and Geography,30,58.9,33.333332,172
Bronx,07X381,Bronx Haven High School,2019,Living Environment,34,57.0,29.411764,173
Bronx,07X381,Bronx Haven High School,2019,US History and Government,50,56.14,24.0,174
Bronx,07X381,Bronx Haven High School,2022,Common Core Algebra,8,59.0,25.0,175
Bronx,07X381,Bronx Haven High School,2022,Common Core English,31,56.580647,38.70968,176
Bronx,07X381,Bronx Haven High School,2022,Global History and Geography,10,63.5,50.0,177
Bronx,07X381,Bronx Haven High School,2023,Common Core Algebra,28,51.357143,7.142857,178
Bronx,07X381,Bronx Haven High School,2023,Common Core English,46,62.717392,56.52174,179
Bronx,07X381,Bronx Haven High School,2023,Global History and Geography,39,59.025642,30.76923,180
Bronx,07X381,Bronx Haven High School,2023,Living Environment,23,56.04348,21.73913,181
Bronx,07X381,Bronx Haven High School,2023,US History and Government,25,56.44,44.0,182
Bronx,07X427,Community School for Social Justice,2017,Common Core English,69,60.463768,62.31884,183
Bronx,07X427,Community School for Social Justice,2018,Common Core English,76,61.223682,60.526318,184
Bronx,07X427,Community School for Social Justice,2019,Common Core English,78,68.333336,70.51282,185
Bronx,07X427,Community School for Social Justice,2022,Common Core English,20,58.5,45.0,186
Bronx,07X427,Community School for Social Justice,2023,Common Core English,51,62.0,54.901962,187
Bronx,07X456,Alfred E. Smith Campus YABC,2017,Common Core Algebra,25,57.16,20.0,188
Bronx,07X456,Alfred E. Smith Campus YABC,2017,Common Core English,39,48.48718,23.076923,189
Bronx,07X456,Alfred E. Smith Campus YABC,2017,Global History and Geography,57,54.263157,22.807018,190
Bronx,07X456,Alfred E. Smith Campus YABC,2017,Living Environment,35,59.714287,37.142857,191
Bronx,07X456,Alfred E. Smith Campus YABC,2017,US History and Government,46,57.652172,36.95652,192
Bronx,07X456,Alfred E. Smith Campus YABC,2018,Common Core Algebra,13,56.23077,23.076923,193
Bronx,07X456,Alfred E. Smith Campus YABC,2018,Common Core English,29,46.62069,27.586206,194
Bronx,07X456,Alfred E. Smith Campus YABC,2018,Global History and Geography,36,54.72222,22.222221,195
Bronx,07X456,Alfred E. Smith Campus YABC,2018,Living Environment,22,57.727272,31.818182,196
Bronx,07X456,Alfred E. Smith Campus YABC,2018,US History and Government,41,53.707317,29.268293,197
Bronx,07X456,Alfred E. Smith Campus YABC,2019,Common Core Algebra,25,50.8,16.0,198
Bronx,07X456,Alfred E. Smith Campus YABC,2019,Common Core English,43,47.55814,25.581396,199
Bronx,07X456,Alfred E. Smith Campus YABC,2019,Global History and Geography,35,50.17143,20.0,200
Bronx,07X456,Alfred E. Smith Campus YABC,2019,Living Environment,36,49.27778,11.111111,201
Bronx,07X456,Alfred E. Smith Campus YABC,2019,US History and Government,49,49.530613,16.32653,202
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Common Core Algebra,217,60.967743,41.474655,203
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Common Core Algebra 2,49,46.938774,6.122449,204
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Common Core English,91,65.94505,70.32967,205
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Common Core Geometry,55,44.49091,0.0,206
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Earth Science,59,50.305084,10.169492,207
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Global History and Geography,148,57.16892,37.162163,208
Bronx,07X473,Mott Haven Village Preparatory High School,2017,Living Environment,117,59.803417,40.17094,209
Bronx,07X473,Mott Haven Village Preparatory High School,2017,US History and Government,76,70.0921,68.42105,210
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Common Core Algebra,178,57.21348,32.022472,211
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Common Core Algebra 2,6,54.0,33.333332,212
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Common Core English,88,57.022728,52.272728,213
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Common Core Geometry,64,43.0625,1.5625,214
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Earth Science,35,50.342857,8.571428,215
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Global History and Geography,178,54.92135,31.460674,216
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Living Environment,111,56.0,29.72973,217
Bronx,07X473,Mott Haven Village Preparatory High School,2018,Spanish,6,77.5,83.333336,218
Bronx,07X473,Mott Haven Village Preparatory High School,2018,US History and Government,69,68.014496,60.869564,219
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Common Core Algebra,168,59.22619,37.5,220
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Common Core Algebra 2,24,38.458332,8.333333,221
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Common Core English,135,65.45926,70.37037,222
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Common Core Geometry,77,45.285713,7.7922077,223
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Earth Science,64,49.828125,17.1875,224
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Global History and Geography,112,52.294643,23.214285,225
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Living Environment,143,55.81818,34.965034,226
Bronx,07X473,Mott Haven Village Preparatory High School,2019,Spanish,12,83.583336,91.666664,227
Bronx,07X473,Mott Haven Village Preparatory High School,2019,US History and Government,85,66.31765,61.17647,228
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Chemistry,19,42.842106,0.0,229
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Common Core Algebra,56,57.464287,35.714287,230
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Common Core Algebra 2,27,43.22222,3.7037036,231
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Common Core English,67,59.46269,47.761192,232
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Common Core Geometry,20,32.4,0.0,233
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Earth Science,39,45.28205,7.6923075,234
Bronx,07X473,Mott Haven Village Preparatory High School,2022,Global History and Geography,79,63.93671,53.16456,235
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Common Core Algebra,62,53.83871,16.129032,236
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Common Core Algebra 2,6,47.833332,33.333332,237
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Common Core English,75,58.013332,38.666668,238
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Common Core Geometry,37,45.08108,2.7027028,239
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Earth Science,59,45.525425,11.864407,240
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Global History and Geography,29,53.13793,20.689655,241
Bronx,07X473,Mott Haven Village Preparatory High School,2023,Living Environment,34,55.235294,26.470589,242
Bronx,07X473,Mott Haven Village Preparatory High School,2023,US History and Government,44,64.02273,52.272728,243
Bronx,07X495,University Heights Secondary School,2017,Common Core English,206,79.76699,94.17476,244
Bronx,07X495,University Heights Secondary School,2018,Common Core English,145,83.85517,97.93104,245
Bronx,07X495,University Heights Secondary School,2019,Common Core English,173,80.67052,94.79769,246
Bronx,07X495,University Heights Secondary School,2022,Common Core English,17,73.05882,82.35294,247
Bronx,07X495,University Heights Secondary School,2023,Common Core English,100,83.16,94.0,248
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Chemistry,39,71.589745,71.79487,249
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Common Core Algebra,100,67.16,67.0,250
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Common Core Algebra 2,37,70.78378,75.675674,251
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Common Core English,122,77.68033,92.62295,252
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Common Core Geometry,62,70.370964,82.258064,253
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Earth Science,41,62.414635,46.341465,254
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Global History and Geography,81,76.37037,83.950615,255
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Living Environment,77,77.71429,100.0,256
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Physics,37,77.62162,89.189186,257
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,Spanish,28,91.53571,100.0,258
Bronx,07X500,Hostos-Lincoln Academy of Science,2017,US History and Government,83,82.686745,90.36144,259
Bronx,07X500,Hostos-Lincoln Academy of Science,2018,Chemistry,69,63.275364,49.275364,260
Bronx,07X500,Hostos-Lincoln Academy of Science,2018,Common Core Algebra,75,70.26667,78.666664,261
Bronx,07X500,Hostos-Lincoln Academy of Science,2018,Common Core Algebra 2,27,77.888885,96.296295,262
Bronx,07X500,Hostos-Lincoln Academy of Science,2018,Common Core English,106,71.36793,74.528305,263
Bronx,07X500,Hostos-Lincoln Academy of Science,2018,Common Core Geometry,83,74.69879,92.77109,264
